address.outcode,year_sale,sample_listed_sold,min_listed_sold_percentage,lower_quartile_listed_sold_percentage,median_listed_sold_percentage,mean_listed_sold_percentage,upper_quartile_listed_sold_percentage,max_listed_sold_percentage
PA,2017,2315,-59.9899975,0,2.222222222,2.367044364,5.504587156,69.5
PA,2018,2365,-90.24756189,0,2.864490321,2.801146641,6.002120042,73.13592233
PA,2019,2482,-96.36297509,0,2.877697842,2.971601171,5.882352941,91.25
PA,2020,2027,-89.34920635,0.626965409,4.444444444,4.738107882,8.182440476,87.52930145
PA,2021,2839,-79.16666667,3.571428571,8.331666667,8.967366985,13.75319931,68.12
PA,2022,2111,-36.70886076,5.263157895,10.83333333,11.65733371,16.76632128,91.42857143
PA,2023,123,-11.76470588,2.450980392,6.428571429,7.371705885,11.51864035,42.79614035
PH,2010,77,-39.18783757,-2.380952381,0,-1.389390077,1.2725,33.33333333
PH,2011,148,-62.22222222,-3.653198653,-0.76297853,-1.088072897,0.000625004,99.99
PH,2012,593,-82.3955989,-5.660377358,-3.015075377,-4.048470547,-0.476190476,25
PH,2013,1082,-67.14285714,-5.009894459,-2.666666667,-3.372160849,0,69.23076923
PH,2014,1198,-90.21413276,-3.468246572,-1.096096096,-1.875881617,0,75.04
PH,2015,1172,-60.60606061,-3.74774407,-0.909090909,-1.638485461,0.003970758,72.44444444
PH,2016,931,-68.86792453,-3.162280702,0,-1.229924748,0.927350427,84.61538462
PH,2017,1119,-32.75862069,-2.380952381,0,-0.174969847,2.00510051,86.06202067
PH,2018,1446,-85.99533178,-1.428571429,0.003348327,0.475338984,2.37306018,82.98742138
PH,2019,1385,-67.40740741,-1.111111111,0.371747212,1.006134096,3.088076923,83.57142857
PH,2020,1179,-69,0,0.833893522,1.083029747,3.477835249,49.6969697
PH,2021,1927,-40,0,2.678571429,4.104540265,6.568162209,54.61666667
PH,2022,1368,-62.64705882,1.351351351,4.606542882,5.859736481,9.523809524,59.64920635
PH,2023,66,-10.76923077,0,2.153846154,2.656391479,4.47845805,20.26315789
TD,2010,21,-61.29032258,-3.333333333,-0.740740741,-3.960867466,0.005882699,10
TD,2011,78,-22.85714286,-8.238636364,-2.532051282,-1.596067375,0.047522761,60.0320064
TD,2012,143,-47.69230769,-6.17260788,-3.47826087,-3.795353728,0,45.58689718
TD,2013,267,-72.145,-7.692307692,-4.081632653,-4.424041971,0,66.94490818
TD,2014,349,-94.44429012,-7.031479847,-3.448275862,-4.832486469,0,60.55555556
TD,2015,402,-61.53846154,-6.62332983,-2.857142857,-4.0262669,0,22.85714286
TD,2016,439,-34.94578816,-6.036861274,-2.777777778,-3.499279638,0,83.33333333
TD,2017,549,-63.88888889,-4.651162791,-2.222222222,-2.864996417,0,61.81818182
TD,2018,502,-41.42857143,-4.538123167,-1.550480769,-2.235847854,0,41.02564103
TD,2019,500,-74.99964273,-4.330199765,-1.027445461,-2.202163325,0.337907292,21.10726644
TD,2020,430,-39.99939999,-2.987012987,0,-0.437156505,1.951856737,33.33333333
TD,2021,538,-90.19607843,-0.272727273,2.553237723,3.621592474,7.692307692,49.14285714
TD,2022,466,-73.33333333,0.115003001,5.235745614,6.456972274,10.88589981,61.29032258
TD,2023,29,-12.5,0,4.089219331,5.136781938,7.244444444,21.03448276
ZE,2010,0,0,0,0,0,0,0
